State,Value
 OX  XO X,1.0
 OX  XOX ,0.0
 OX  XOXO,0.0
 OX  XX O,-1.0
 OX  XXO ,-1.0
 OX  XXOO,1.0
 OX O   X,1.0
 OX O  X ,1.0
 OX O  XX,1.0
 OX O OXX,1.0
 OX O X  ,0.0
 OX O X X,-1.0
 OX O XOX,-1.0
 OX O XX ,0.0
 OX O XXO,0.0
 OX OO XX,1.0
 OX OOX X,1.0
 OX OOXX ,1.0
 OX OOXXX,1.0
 OX OX   ,1.0
 OX OX  X,1.0
 OX OX X ,0.0
 OX OX XO,0.0
 OX OXOX ,1.0
 OX OXOXX,1.0
 OX OXX  ,-1.0
 OX OXX O,-1.0
 OX OXXO ,-1.0
 OX OXXXO,-1.0
 OX X    ,1.0
 OX X   O,1.0
 OX X  O ,1.0
 OX X  OX,1.0
 OX X  XO,0.0
 OX X O  ,1.0
 OX X O X,1.0
 OX X OOX,1.0
 OX X OX ,0.0
 OX X OXO,0.0
 OX X X O,1.0
 OX X XO ,1.0
 OX XO   ,1.0
 OX XO  X,0.0
 OX XO OX,1.0
 OX XO X ,0.0
 OX XO XO,1.0
 OX XOO X,1.0
 OX XOOX ,0.0
 OX XOOXX,0.0
 OX XOX  ,1.0
 OX XOXOX,1.0
 OX XOXXO,1.0
 OX XX  O,1.0
 OX XX OO,1.0
 OX XXO  ,0.0
 OX XXO O,1.0
 OX XXOO ,1.0
 OX XXOOX,1.0
 OX XXOXO,0.0
 OX XXXOO,1.0
 OXO    X,1.0
 OXO   X ,1.0
 OXO   XX,1.0
 OXO  OXX,1.0
 OXO  X  ,1.0
 OXO  X X,0.0
 OXO  XX ,0.0
 OXO  XXO,1.0
 OXO O XX,1.0
 OXO OX X,1.0
 OXO OXX ,1.0
 OXO OXXX,1.0
 OXO X   ,1.0
 OXO X  X,1.0
 OXO X X ,0.0
 OXO X XO,0.0
 OXO XOX ,1.0
 OXO XOXX,1.0
 OXO XX  ,1.0
 OXO XX O,1.0
 OXO XXO ,1.0
 OXO XXOX,1.0
 OXO XXXO,0.0
 OXOO  XX,1.0
 OXOO X X,1.0
 OXOO XX ,1.0
 OXOO XXX,1.0
 OXOOX X ,1.0
 OXOOX XX,1.0
 OXOOXX  ,1.0
 OXOOXX X,1.0
 OXOOXXX ,0.0
 OXOOXXXO,0.0
 OXOX    ,1.0
 OXOX   X,1.0
 OXOX  OX,1.0
 OXOX  X ,0.0
 OXOX  XO,1.0
 OXOX O X,1.0
 OXOX OX ,0.0
 OXOX OXX,-1.0
 OXOX X  ,1.0
 OXOX XOX,1.0
 OXOX XXO,1.0
 OXOXO  X,1.0
 OXOXO X ,1.0
 OXOXO XX,0.0
 OXOXOOXX,1.0
 OXOXOX X,1.0
 OXOXOXX ,1.0
 OXOXX   ,0.0
 OXOXX  O,1.0
 OXOXX O ,1.0
 OXOXX OX,1.0
 OXOXX XO,0.0
 OXOXXO X,1.0
 OXOXXOX ,-1.0
 OXOXXOXO,0.0
 OXOXXX O,1.0
 OXX     ,0.0
 OXX    O,1.0
 OXX   O ,0.0
 OXX   OX,-1.0
 OXX   XO,0.0
 OXX  O  ,1.0
 OXX  O X,0.0
 OXX  OOX,1.0
 OXX  OX ,0.0
 OXX  OXO,0.0
 OXX  X O,1.0
 OXX  XO ,-1.0
 OXX  XOO,1.0
 OXX O   ,1.0
 OXX O  X,0.0
 OXX O OX,1.0
 OXX O X ,0.0
 OXX O XO,1.0
 OXX OO X,0.0
 OXX OOX ,0.0
 OXX OOXX,0.0
 OXX OX  ,1.0
 OXX OX O,1.0
 OXX OXO ,1.0
 OXX OXOX,-1.0
 OXX OXXO,1.0
 OXX X  O,-1.0
 OXX X O ,-1.0
 OXX X OO,0.0
 OXX XO  ,1.0
 OXX XO O,1.0
 OXX XOO ,1.0
 OXX XOOX,1.0
 OXX XOXO,0.0
 OXX XXOO,0.0
 OXXO    ,0.0
 OXXO   X,-1.0
 OXXO  OX,-1.0
 OXXO  X ,0.0
 OXXO  XO,0.0
 OXXO O X,1.0
 OXXO OX ,0.0
 OXXO OXX,0.0
 OXXO X  ,-1.0
 OXXO X O,1.0
 OXXO XO ,-1.0
 OXXO XXO,-1.0
 OXXOO  X,0.0
 OXXOO X ,1.0
 OXXOO XX,0.0
 OXXOOOXX,0.0
 OXXOOX  ,1.0
 OXXOOX X,-1.0
 OXXOOXOX,-1.0
 OXXOOXX ,1.0
 OXXOOXXO,1.0
 OXXOX   ,-1.0
 OXXOX  O,-1.0
 OXXOX O ,-1.0
 OXXOX XO,-1.0
 OXXOXO  ,1.0
 OXXOXO X,1.0
 OXXOXOX ,0.0
 OXXOXOXO,0.0
 OXXOXX O,-1.0
 OXXOXXOO,-1.0
 OXXX   O,1.0
 OXXX  O ,1.0
 OXXX  OO,1.0
 OXXX O  ,0.0
 OXXX O O,1.0
 OXXX OO ,1.0
 OXXX OXO,0.0
 OXXX XOO,1.0
 OXXXO   ,0.0
 OXXXO  O,1.0
 OXXXO O ,1.0
 OXXXO OX,1.0
 OXXXO XO,0.0
 OXXXOO  ,0.0
 OXXXOO X,0.0
 OXXXOOOX,1.0
 OXXXOOX ,0.0
 OXXXOOXO,0.0
 OXXXOX O,1.0
 OXXXXO O,1.0
 OXXXXOO ,1.0
 X       ,0.0
 X      O,1.0
 X     O ,0.0
 X     OX,0.0
 X     XO,-1.0
 X    O  ,1.0
 X    O X,0.0
 X    OOX,1.0
 X    OX ,-1.0
 X    OXO,1.0
 X    X O,0.0
 X    XO ,0.0
 X    XOO,1.0
 X   O   ,1.0
 X   O  X,0.0
 X   O OX,1.0
 X   O X ,-1.0
 X   O XO,1.0
 X   OO X,1.0
 X   OOX ,1.0
 X   OOXX,0.0
 X   OX  ,0.0
 X   OX O,1.0
 X   OXO ,1.0
 X   OXOX,0.0
 X   OXXO,-1.0
 X   X  O,-1.0
 X   X O ,0.0
 X   X OO,1.0
 X   XO  ,-1.0
 X   XO O,-1.0
 X   XOO ,1.0
 X   XOOX,1.0
 X   XOXO,-1.0
 X   XXOO,1.0
 X  O    ,0.0
 X  O   X,0.0
 X  O  OX,1.0
 X  O  X ,-1.0
 X  O  XO,-1.0
 X  O O X,1.0
 X  O OX ,-1.0
 X  O OXX,-1.0
 X  O X  ,0.0
 X  O X O,1.0
 X  O XO ,1.0
 X  O XOX,0.0
 X  O XXO,-1.0
 X  OO  X,0.0
 X  OO X ,-1.0
 X  OO XX,-1.0
 X  OOOXX,-1.0
 X  OOX  ,0.0
 X  OOX X,-1.0
 X  OOXOX,0.0
 X  OOXX ,-1.0
 X  OOXXO,-1.0
 X  OX   ,0.0
 X  OX  O,0.0
 X  OX O ,1.0
 X  OX OX,0.0
 X  OX XO,-1.0
 X  OXO  ,1.0
 X  OXO X,-1.0
 X  OXOOX,1.0
 X  OXOX ,-1.0
 X  OXOXO,-1.0
 X  OXX O,-1.0
 X  OXXO ,0.0
 X  OXXOO,1.0
 X  X   O,0.0
 X  X  O ,0.0
 X  X  OO,0.0
 X  X O  ,0.0
 X  X O O,1.0
 X  X OO ,0.0
 X  X OOX,0.0
 X  X OXO,1.0
 X  X XOO,0.0
 X  XO   ,1.0
 X  XO  O,1.0
 X  XO O ,1.0
 X  XO OX,0.0
 X  XO XO,1.0
 X  XOO  ,1.0
 X  XOO X,0.0
 X  XOOOX,1.0
 X  XOOX ,1.0
 X  XOX O,-1.0
 X  XOXOO,1.0
 X  XX OO,-1.0
 X  XXO O,-1.0
 X  XXOO ,-1.0
 X  XXOOO,-1.0
 X O     ,1.0
 X O    X,0.0
 X O   OX,1.0
 X O   X ,-1.0
 X O   XO,1.0
 X O  O X,0.0
 X O  OX ,1.0
 X O  OXX,-1.0
 X O  X  ,0.0
 X O  X O,0.0
 X O  XO ,1.0
 X O  XOX,0.0
 X O  XXO,0.0
 X O O  X,1.0
 X O O X ,1.0
 X O O XX,0.0
 X O OOXX,1.0
 X O OX  ,0.0
 X O OX X,-1.0
 X O OXOX,1.0
 X O OXX ,0.0
 X O OXXO,0.0
 X O X   ,0.0
 X O X  O,0.0
 X O X O ,1.0
 X O X OX,0.0
 X O X XO,0.0
 X O XO  ,1.0
 X O XO X,-1.0
 X O XOOX,1.0
 X O XOX ,-1.0
 X O XOXO,1.0
 X O XX O,0.0
 X O XXO ,0.0
 X O XXOO,1.0
 X OO   X,0.0
 X OO  X ,-1.0
 X OO  XX,-1.0
 X OO OXX,-1.0
 X OO X  ,0.0
 X OO X X,-1.0
 X OO XOX,0.0
 X OO XX ,-1.0
 X OO XXO,-1.0
 X OOO XX,-1.0
 X OOOX X,-1.0
 X OOOXX ,-1.0
 X OOX   ,1.0
 X OOX  X,0.0
 X OOX OX,1.0
 X OOX X ,-1.0
 X OOX XO,0.0
 X OOXO X,1.0
 X OOXOX ,0.0
 X OOXOXX,-1.0
 X OOXX  ,0.0
 X OOXX O,0.0
 X OOXXO ,1.0
 X OOXXOX,0.0
 X OOXXXO,-1.0
 X OX    ,0.0
 X OX   O,1.0
 X OX  O ,1.0
 X OX  OX,0.0
 X OX  XO,1.0
 X OX O  ,1.0
 X OX O X,-1.0
 X OX OOX,1.0
 X OX OX ,1.0
 X OX X O,0.0
 X OX XO ,0.0
 X OX XOO,1.0
 X OXO   ,1.0
 X OXO  X,1.0
 X OXO OX,1.0
 X OXO X ,1.0
 X OXOO X,1.0
 X OXOOXX,1.0
 X OXOX  ,0.0
 X OXOX O,1.0
 X OXOXO ,1.0
 X OXOXOX,1.0
 X OXOXXO,1.0
 X OXX  O,0.0
 X OXX O ,0.0
 X OXX OO,0.0
 X OXXO  ,-1.0
 X OXXO O,1.0
 X OXXOO ,0.0
 X OXXOOX,-1.0
 X OXXOXO,1.0
 X OXXXOO,0.0
 X X    O,-1.0
 X X   O ,0.0
 X X   OO,1.0
 X X  O  ,-1.0
 X X  O O,-1.0
 X X  OO ,1.0
 X X  OOX,1.0
 X X  OXO,-1.0
 X X  XOO,1.0
 X X O   ,0.0
 X X O  O,1.0
 X X O O ,1.0
 X X O OX,0.0
 X X O XO,-1.0
 X X OO  ,0.0
 X X OO X,0.0
 X X OOOX,1.0
 X X OOX ,0.0
 X X OOXO,1.0
 X X OX O,-1.0
 X X OXO ,0.0
 X X OXOO,1.0
 X X X OO,-1.0
 X X XO O,-1.0
 X X XOO ,-1.0
 X X XOOO,-1.0
 X XO    ,0.0
 X XO   O,1.0
 X XO  O ,1.0
 X XO  OX,0.0
 X XO  XO,-1.0
 X XO O  ,0.0
 X XO O X,-1.0
 X XO OOX,1.0
 X XO OX ,-1.0
 X XO OXO,-1.0
 X XO X O,-1.0
 X XO XO ,0.0
 X XO XOO,1.0
 X XOO   ,1.0
 X XOO  X,0.0
 X XOO OX,1.0
 X XOO X ,-1.0
 X XOO XO,0.0
 X XOOO X,0.0
 X XOOOX ,0.0
 X XOOOXX,-1.0
 X XOOX  ,0.0
 X XOOX O,1.0
 X XOOXO ,1.0
 X XOOXOX,0.0
 X XOOXXO,-1.0
 X XOX  O,-1.0
 X XOX O ,-1.0
 X XOX OO,0.0
 X XOXO  ,-1.0
 X XOXO O,0.0
 X XOXOO ,-1.0
 X XOXOOX,-1.0
 X XOXOXO,-1.0
 X XOXXOO,-1.0
 X XX  OO,-1.0
 X XX O O,-1.0
 X XX OO ,-1.0
 X XX OOO,-1.0
 X XXO  O,-1.0
 X XXO O ,-1.0
 X XXO OO,-1.0
 X XXOO  ,0.0
 X XXOO O,1.0
 X XXOOO ,0.0
 X XXOOOX,0.0
 X XXOOXO,1.0
 X XXOXOO,-1.0
 XO      ,0.0
 XO     X,0.0
 XO    OX,0.0
 XO    X ,-1.0
 XO    XO,1.0
 XO   O X,1.0
 XO   OX ,1.0
 XO   OXX,-1.0
 XO   X  ,0.0
 XO   X O,0.0
 XO   XO ,0.0
 XO   XOX,0.0
 XO   XXO,-1.0
 XO  O  X,1.0
 XO  O X ,1.0
 XO  O XX,0.0
 XO  OOXX,1.0
 XO  OX  ,1.0
 XO  OX X,1.0
 XO  OXOX,1.0
 XO  OXX ,-1.0
 XO  OXXO,-1.0
 XO  X   ,0.0
 XO  X  O,1.0
 XO  X O ,0.0
 XO  X OX,0.0
 XO  X XO,-1.0
 XO  XO  ,1.0
 XO  XO X,-1.0
 XO  XOOX,1.0
 XO  XOX ,-1.0
 XO  XOXO,1.0
 XO  XX O,0.0
 XO  XXO ,0.0
 XO  XXOO,1.0
 XO O   X,0.0
 XO O  X ,-1.0
 XO O  XX,-1.0
 XO O OXX,-1.0
 XO O X  ,0.0
 XO O X X,0.0
 XO O XOX,0.0
 XO O XX ,-1.0
 XO O XXO,-1.0
 XO OO XX,1.0
 XO OOX X,1.0
 XO OOXX ,1.0
 XO OOXXX,1.0
 XO OX   ,0.0
 XO OX  X,-1.0
 XO OX OX,0.0
 XO OX X ,-1.0
 XO OX XO,-1.0
 XO OXO X,-1.0
 XO OXOX ,-1.0
 XO OXX  ,0.0
 XO OXX O,0.0
 XO OXXO ,0.0
 XO OXXOX,0.0
 XO OXXXO,-1.0
 XO X    ,0.0
 XO X   O,1.0
 XO X  O ,0.0
 XO X  OX,0.0
 XO X  XO,1.0
 XO X O  ,1.0
 XO X O X,1.0
 XO X OOX,1.0
 XO X OX ,1.0
 XO X X O,-1.0
 XO X XO ,0.0
 XO X XOO,0.0
 XO XO   ,1.0
 XO XO  X,1.0
 XO XO OX,1.0
 XO XO X ,1.0
 XO XOO X,1.0
 XO XOOXX,1.0
 XO XOX  ,-1.0
 XO XOX O,-1.0
 XO XOXO ,0.0
 XO XOXOX,0.0
 XO XX  O,1.0
 XO XX O ,0.0
 XO XX OO,1.0
 XO XXO  ,1.0
 XO XXO O,1.0
 XO XXOO ,1.0
 XO XXOOX,1.0
 XO XXOXO,1.0
 XO XXXOO,0.0
 XOO    X,1.0
 XOO   X ,1.0
 XOO   XX,0.0
 XOO  OXX,1.0
 XOO  X  ,1.0
 XOO  X X,0.0
 XOO  XOX,0.0
 XOO  XX ,1.0
 XOO  XXO,1.0
 XOO O XX,0.0
 XOO OX X,1.0
 XOO OXX ,1.0
 XOO OXXX,1.0
 XOO X   ,0.0
 XOO X  X,-1.0
 XOO X OX,0.0
 XOO X X ,0.0
 XOO X XO,1.0
 XOO XO X,-1.0
 XOO XOX ,1.0
 XOO XOXX,-1.0
 XOO XX  ,0.0
 XOO XX O,0.0
 XOO XXO ,0.0
 XOO XXOX,0.0
 XOO XXXO,0.0
 XOOO X X,1.0
 XOOO XX ,1.0
 XOOO XXX,1.0
 XOOOX  X,0.0
 XOOOX X ,0.0
 XOOOX XX,-1.0
 XOOOXOXX,-1.0
 XOOOXX  ,0.0
 XOOOXX X,0.0
 XOOOXXOX,0.0
 XOOOXXX ,0.0
 XOOOXXXO,0.0
 XOOX    ,1.0
 XOOX   X,1.0
 XOOX  OX,1.0
 XOOX  X ,1.0
 XOOX O X,1.0
 XOOX OXX,1.0
 XOOX X  ,0.0
 XOOX X O,1.0
 XOOX XO ,0.0
 XOOX XOX,0.0
 XOOX XXO,1.0
 XOOXO  X,1.0
 XOOXOX  ,1.0
 XOOXOX X,1.0
 XOOXOXOX,1.0
 XOOXOXX ,1.0
 XOOXX   ,0.0
 XOOXX  O,1.0
 XOOXX O ,0.0
 XOOXX OX,0.0
 XOOXX XO,1.0
 XOOXXO  ,1.0
 XOOXXO X,-1.0
 XOOXXOOX,1.0
 XOOXXOX ,1.0
 XOOXXX O,0.0
 XOOXXXO ,0.0
 XOOXXXOO,0.0
 XOX     ,-1.0
 XOX    O,-1.0
 XOX   O ,0.0
 XOX   OX,0.0
 XOX   XO,-1.0
 XOX  O  ,1.0
 XOX  O X,-1.0
 XOX  OOX,1.0
 XOX  OX ,-1.0
 XOX  OXO,1.0
 XOX  X O,-1.0
 XOX  XO ,0.0
 XOX  XOO,1.0
 XOX O   ,1.0
 XOX O  X,1.0
 XOX O OX,1.0
 XOX O X ,-1.0
 XOX O XO,-1.0
 XOX OO X,1.0
 XOX OOX ,1.0
 XOX OOXX,-1.0
 XOX OX  ,-1.0
 XOX OX O,-1.0
 XOX OXO ,1.0
 XOX OXOX,0.0
 XOX X  O,-1.0
 XOX X O ,0.0
 XOX X OO,1.0
 XOX XO  ,-1.0
 XOX XO O,1.0
 XOX XOO ,1.0
 XOX XOXO,-1.0
 XOX XXOO,1.0
 XOXO    ,0.0
 XOXO   X,-1.0
 XOXO  OX,0.0
 XOXO  X ,-1.0
 XOXO  XO,-1.0
 XOXO O X,-1.0
 XOXO OX ,-1.0
 XOXO X  ,0.0
 XOXO X O,1.0
 XOXO XO ,1.0
 XOXO XOX,0.0
 XOXO XXO,-1.0
 XOXOO  X,1.0
 XOXOO X ,-1.0
 XOXOO XX,-1.0
 XOXOOOXX,-1.0
 XOXOOX  ,1.0
 XOXOOX X,1.0
 XOXOOXOX,1.0
 XOXOOXX ,-1.0
 XOXOOXXO,-1.0
 XOXOX   ,-1.0
 XOXOX  O,-1.0
 XOXOX O ,0.0
 XOXOX OX,-1.0
 XOXOX XO,-1.0
 XOXOXO  ,-1.0
 XOXOXOOX,-1.0
 XOXOXOXO,-1.0
 XOXOXX O,-1.0
 XOXOXXO ,0.0
 XOXOXXOO,1.0
 XOXX   O,-1.0
 XOXX  O ,0.0
 XOXX  OO,1.0
 XOXX O  ,1.0
 XOXX O O,1.0
 XOXX OO ,1.0
 XOXX OOX,1.0
 XOXX OXO,1.0
 XOXX XOO,-1.0
 XOXXO   ,-1.0
 XOXXO  O,-1.0
 XOXXO O ,0.0
 XOXXO OX,0.0
 XOXXOO  ,1.0
 XOXXOO X,1.0
 XOXXOOOX,1.0
 XOXXOOX ,1.0
 XOXXOXO ,-1.0
 XOXXOXOO,-1.0
 XOXXX OO,1.0
 XOXXXO O,1.0
 XOXXXOO ,1.0
 XX     O,1.0
 XX    O ,0.0
 XX    OO,1.0
 XX   O  ,0.0
 XX   O O,1.0
 XX   OO ,1.0
 XX   OOX,0.0
 XX   OXO,1.0
 XX   XOO,1.0
 XX  O   ,0.0
 XX  O  O,1.0
 XX  O O ,1.0
 XX  O OX,0.0
 XX  O XO,0.0
 XX  OO  ,1.0
 XX  OO X,0.0
 XX  OOOX,1.0
 XX  OOX ,1.0
 XX  OOXO,1.0
 XX  OX O,1.0
 XX  OXO ,1.0
 XX  OXOO,1.0
 XX  X OO,-1.0
 XX  XO O,-1.0
 XX  XOO ,0.0
 XX  XOOO,-1.0
 XX O    ,0.0
 XX O   O,1.0
 XX O  O ,1.0
 XX O  OX,1.0
 XX O  XO,-1.0
 XX O O  ,1.0
 XX O O X,1.0
 XX O OOX,1.0
 XX O OX ,-1.0
 XX O OXO,1.0
 XX O X O,-1.0
 XX O XO ,0.0
 XX O XOO,1.0
 XX OO   ,1.0
 XX OO  X,-1.0
 XX OO OX,1.0
 XX OO X ,-1.0
 XX OO XO,1.0
 XX OOO X,1.0
 XX OOOX ,1.0
 XX OOOXX,-1.0
 XX OOX  ,-1.0
 XX OOX O,1.0
 XX OOXO ,1.0
 XX OOXOX,-1.0
 XX OOXXO,-1.0
 XX OX  O,-1.0
 XX OX O ,1.0
 XX OX OO,1.0
 XX OXO  ,1.0
 XX OXO O,1.0
 XX OXOO ,1.0
 XX OXOOX,1.0
 XX OXOXO,-1.0
 XX OXXOO,-1.0
 XX X  OO,-1.0
 XX X O O,-1.0
 XX X OO ,-1.0
 XX X OOO,-1.0
 XX XO  O,0.0
 XX XO O ,0.0
 XX XO OO,1.0
 XX XOO  ,1.0
 XX XOO O,1.0
 XX XOOO ,1.0
 XX XOOOX,0.0
 XX XOOXO,1.0
 XX XOXOO,1.0
 XXO     ,-1.0
 XXO    O,1.0
 XXO   O ,1.0
 XXO   OX,1.0
 XXO   XO,0.0
 XXO  O  ,1.0
 XXO  O X,-1.0
 XXO  OOX,1.0
 XXO  OX ,-1.0
 XXO  OXO,1.0
 XXO  X O,0.0
 XXO  XO ,1.0
 XXO  XOO,1.0
 XXO O   ,1.0
 XXO O  X,-1.0
 XXO O OX,1.0
 XXO O X ,-1.0
 XXO O XO,1.0
 XXO OO X,1.0
 XXO OOX ,1.0
 XXO OOXX,-1.0
 XXO OX  ,0.0
 XXO OX O,1.0
 XXO OXO ,1.0
 XXO OXOX,-1.0
 XXO OXXO,0.0
 XXO X  O,-1.0
 XXO X O ,1.0
 XXO X OO,1.0
 XXO XO  ,-1.0
 XXO XO O,1.0
 XXO XOO ,1.0
 XXO XOOX,1.0
 XXO XOXO,-1.0
 XXO XXOO,1.0
 XXOO    ,1.0
 XXOO   X,-1.0
 XXOO  OX,1.0
 XXOO  X ,-1.0
 XXOO  XO,1.0
 XXOO O X,1.0
 XXOO OX ,1.0
 XXOO OXX,-1.0
 XXOO X  ,-1.0
 XXOO X O,0.0
 XXOO XO ,1.0
 XXOO XOX,-1.0
 XXOO XXO,-1.0
 XXOOO  X,-1.0
 XXOOO X ,-1.0
 XXOOOOXX,-1.0
 XXOOOX  ,-1.0
 XXOOOXOX,-1.0
 XXOOX   ,1.0
 XXOOX  O,1.0
 XXOOX O ,1.0
 XXOOX OX,1.0
 XXOOX XO,-1.0
 XXOOXO  ,1.0
 XXOOXO X,1.0
 XXOOXOXO,1.0
 XXOOXX O,-1.0
 XXOOXXO ,1.0
 XXOOXXOO,1.0
 XXOX   O,0.0
 XXOX  O ,1.0
 XXOX  OO,1.0
 XXOX O  ,-1.0
 XXOX O O,1.0
 XXOX OO ,1.0
 XXOX OXO,1.0
 XXOX XOO,1.0
 XXOXO   ,1.0
 XXOXO  O,1.0
 XXOXO O ,1.0
 XXOXO OX,1.0
 XXOXOO  ,1.0
 XXOXOO X,-1.0
 XXOXOOOX,1.0
 XXOXOOX ,1.0
 XXOXOX O,1.0
 XXOXX OO,-1.0
 XXOXXO O,-1.0
 XXOXXOO ,-1.0
 XXOXXOOO,-1.0
 XXX   OO,-1.0
 XXX  O O,-1.0
 XXX  OO ,-1.0
 XXX  OOO,-1.0
 XXX O  O,1.0
 XXX O O ,0.0
 XXX O OO,1.0
 XXX OO  ,0.0
 XXX OO O,1.0
 XXX OOO ,1.0
 XXX OOOX,0.0
 XXX OOXO,1.0
 XXX OXOO,1.0
 XXXO   O,-1.0
 XXXO  O ,0.0
 XXXO  OO,1.0
 XXXO O  ,0.0
 XXXO O O,1.0
 XXXO OO ,1.0
 XXXO OOX,1.0
 XXXO OXO,-1.0
 XXXO XOO,-1.0
 XXXOO   ,0.0
 XXXOO  O,1.0
 XXXOO O ,1.0
 XXXOO OX,0.0
 XXXOO XO,-1.0
 XXXOOO  ,1.0
 XXXOOO X,0.0
 XXXOOOOX,1.0
 XXXOOOX ,0.0
 XXXOOOXO,1.0
 XXXOOX O,-1.0
 XXXOOXO ,0.0
 XXXOOXOO,1.0
 XXXOX OO,-1.0
 XXXOXO O,-1.0
 XXXOXOO ,-1.0
 XXXOXOOO,-1.0
 XXXXO OO,-1.0
 XXXXOO O,-1.0
 XXXXOOO ,-1.0
 XXXXOOOO,-1.0
O       X,1.0
O      X ,1.0
O      XX,0.0
O     OXX,0.0
O     X  ,1.0
O     X X,1.0
O     XOX,1.0
O     XX ,1.0
O     XXO,1.0
O    O XX,1.0
O    OX X,1.0
O    OXX ,1.0
O    OXXX,1.0
O    X   ,1.0
O    X  X,-1.0
O    X OX,1.0
O    X X ,-1.0
O    X XO,1.0
O    XO X,1.0
O    XOX ,-1.0
O    XOXX,-1.0
O    XX  ,0.0
O    XX O,1.0
O    XXO ,0.0
O    XXOX,0.0
O    XXXO,-1.0
O   O  XX,1.0
O   O X X,1.0
O   O XX ,1.0
O   O XXX,1.0
O   OX  X,1.0
O   OX X ,1.0
O   OX XX,1.0
O   OXOXX,1.0
O   OXX  ,1.0
O   OXX X,1.0
O   OXXOX,1.0
O   OXXX ,-1.0
O   OXXXO,-1.0
O   X    ,0.0
O   X   X,0.0
O   X  OX,1.0
O   X  X ,0.0
O   X  XO,1.0
O   X O X,0.0
O   X OX ,1.0
O   X OXX,-1.0
O   X X  ,0.0
O   X X O,1.0
O   X XO ,1.0
O   X XOX,0.0
O   X XXO,1.0
O   XO  X,1.0
O   XO X ,1.0
O   XO XX,0.0
O   XOOXX,1.0
O   XOX  ,1.0
O   XOX X,1.0
O   XOXOX,1.0
O   XOXX ,0.0
O   XOXXO,1.0
O   XX   ,0.0
O   XX  O,1.0
O   XX O ,1.0
O   XX OX,0.0
O   XX XO,1.0
O   XXO  ,1.0
O   XXO X,-1.0
O   XXOOX,0.0
O   XXOX ,-1.0
O   XXOXO,1.0
O   XXX O,1.0
O   XXXO ,1.0
O   XXXOO,1.0
O  O   XX,1.0
O  O  X X,1.0
O  O  XX ,1.0
O  O  XXX,1.0
O  O X  X,1.0
O  O X X ,1.0
O  O X XX,-1.0
O  O XOXX,-1.0
O  O XX  ,1.0
O  O XX X,1.0
O  O XXOX,1.0
O  O XXX ,1.0
O  O XXXO,1.0
O  OOX XX,1.0
O  OOXX X,1.0
O  OOXXX ,1.0
O  OOXXXX,1.0
O  OX   X,1.0
O  OX  X ,1.0
O  OX  XX,-1.0
O  OX OXX,-1.0
O  OX X  ,1.0
O  OX X X,1.0
O  OX XOX,1.0
O  OX XX ,0.0
O  OX XXO,1.0
O  OXO XX,1.0
O  OXOX X,1.0
O  OXOXX ,1.0
O  OXOXXX,1.0
O  OXX   ,0.0
O  OXX  X,-1.0
O  OXX OX,1.0
O  OXX X ,-1.0
O  OXX XO,1.0
O  OXXO X,-1.0
O  OXXOX ,-1.0
O  OXXX  ,0.0
O  OXXX O,1.0
O  OXXXO ,1.0
O  OXXXXO,1.0
O  X     ,0.0
O  X    X,0.0
O  X   OX,1.0
O  X   X ,-1.0
O  X   XO,1.0
O  X  O X,1.0
O  X  OX ,1.0
O  X  OXX,0.0
O  X  X  ,-1.0
O  X  X O,1.0
O  X  XO ,0.0
O  X  XOX,-1.0
O  X  XXO,-1.0
O  X O  X,0.0
O  X O X ,0.0
O  X O XX,0.0
O  X OOXX,0.0
O  X OX  ,0.0
O  X OX X,0.0
O  X OXOX,0.0
O  X OXX ,-1.0
O  X OXXO,-1.0
O  X X   ,-1.0
O  X X  O,1.0
O  X X O ,1.0
O  X X OX,1.0
O  X X XO,-1.0
O  X XO  ,1.0
O  X XO X,1.0
O  X XOOX,1.0
O  X XOX ,-1.0
O  X XOXO,0.0
O  X XX O,-1.0
O  X XXO ,-1.0
O  X XXOO,1.0
O  XO   X,0.0
O  XO  X ,0.0
O  XO  XX,0.0
O  XO OXX,0.0
O  XO X  ,0.0
O  XO X X,0.0
O  XO XOX,0.0
O  XO XX ,-1.0
O  XO XXO,-1.0
O  XOO XX,1.0
O  XOOX X,1.0
O  XOOXX ,1.0
O  XOOXXX,1.0
